,model,price,score,processor,no of cores,storage,ram,display,os,warranty
0,Infinix Zero Book Ultra Laptop (12th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),"₹84,490",65,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,32 GB LPDDR5 RAM,Windows 11 OS,1 Year Warranty,Backlit Keyboard
1,HP Pavilion 15-ec2004AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹52,990",63,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
2,Dell Inspiron 3520 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹45,200",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
3,HP 15s-fr4000TU Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹52,990",63,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
4,HP Victus 15-fa0070TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹67,990",71,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
5,Lenovo V15 ITL G2 82KBA033IH Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹33,999",61,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
6,HP 15s-eq1559AU Laptop (AMD Athlon Silver 3050U/ 8GB/ 512GB/ Win11),"₹29,300",,3rd Gen AMD Athlon Silver 3050U,"Dual Core, 2 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
7,Lenovo IdeaPad Gaming 3 82K101ECIN Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),"₹54,990",73,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",1 TB Hard Disk,8 GB DDR4 RAM,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS
8,HP 15s-fq5111TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹56,899",61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
9,Dell Inspiron 3520 D560871WIN9B Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹57,831",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
10,MSI Thin GF63 11SC-852IN Gaming Laptop (11th Gen Core i7/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹63,500",73,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,2 Year Warranty
