brand_names,model name,price,score,processor brand,processor type,processor gen,type of core,no of threads,Ram,ram type,storage type,storage capacity,screen size,screen resolution,OS,Warranty
infinix,Infinix Zero Book Ultra ,84490,65.0,Intel,i9,12.0,14,32.0,32,lpddr5,SSD,1024.0,,,Windows 11 ,
hp,HP Pavilion 15-ec2004AX Gaming ,52990,63.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
dell,Dell Inspiron 3520 ,45200,,Intel,i3,12.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 15s-fr4000TU ,52990,63.0,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP Victus 15-fa0070TX ,67990,71.0,Intel,i5,12.0,8,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo V15 ITL G2 82KBA033IH ,33999,61.0,Intel,i3,11.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 15s-eq1559AU ,29300,,AMD,athlon,3.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1366 x 768 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Gaming 3 82K101ECIN ,54990,73.0,Intel,i5,11.0,4,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
hp,HP 15s-fq5111TU ,56899,61.0,Intel,i5,12.0,10,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Inspiron 3520 D560871WIN9B ,57831,,Intel,i5,12.0,10,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
msi,MSI Thin GF63 11SC-852IN Gaming ,63500,73.0,Intel,i7,11.0,8,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,2.0
asus,Asus Vivobook 16X 2022 M1603QA-MB502WS ,49990,66.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,16.0, 1200 x 1920 ,Windows 11 ,1.0
hp,HP 15s-fq5007TU ,47490,60.0,Intel,i3,12.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
samsung,Samsung Galaxy Book 3 ,69990,,Intel,i5,13.0,12,8.0,8,lpddr5,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo V15 82KDA01EIH ,35499,62.0,AMD,ryzen,5.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
infinix,Infinix Zero Book Series ZL12 ,49490,62.0,Intel,i5,12.0,12,16.0,16,lpddr5,SSD,512.0,15.6, 1920 x 1080 ,Windows ,1.0
lenovo,Lenovo V15 82KBA03HIH ,35499,61.0,Intel,i3,11.0,2,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
infinix,Infinix INBook X1 XL11 ,30990,,Intel,i3,10.0,2,8.0,8,lpddr4x,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
apple,Apple MacBook Air 2020 MGND3HN ,83900,,Apple,m1,,8,8.0,8,ddr4,SSD,256.0,13.3, 2560 x 1600 ,Mac ,1.0
primebook,Primebook 4G Android ,19999,,MediaTek,kompanio,,8,4.0,4,lpddr4,Hard Disk,128.0,11.6, 1366 x 768 ,Android 11,1.0
asus,Asus TUF Gaming A17 FA706IHRB-HX041W Gaming ,63990,67.0,AMD,ryzen,4.0,6,8.0,8,ddr4,SSD,512.0,17.3, 1920 x 1080 ,Windows 11 ,1.0
xiaomi,Xiaomi RedmiBook Pro 15 ,42490,61.0,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
lenovo,Lenovo IdeaPad D330 82H0001YIN ,21499,,Intel,celeron,,4,4.0,4,ddr4,Hard Disk,128.0,10.1, 1200 x 800 ,Windows 10 ,1.0
hp,HP 15s-er1501AU ,27990,,AMD,ryzen,3.0,2,8.0,8,ddr4,SSD,256.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Inspiron 3511 ,38170,,Intel,i3,11.0,2,8.0,8,ddr4,SSD,512.0,15.56, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo E41-55 ,18990,,AMD,athlon,,2,8.0,8,ram,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Gaming 3 82K201UEIN ,58490,69.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
asus,Asus Vivobook 16X 2022 M1603QA-MB511WS ,54490,67.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,16.0, 1920 x 1200 ,Windows 11 ,1.0
asus,Asus Vivobook Pro 15 OLED M6500QH-HN701WS ,65990,68.0,AMD,ryzen,5.0,8,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Inspiron 3511 ,58490,65.0,Intel,i5,11.0,4,8.0,8,ddr4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 10 ,
asus,Asus Vivobook S15 OLED K3502ZA-L501WS ,67490,65.0,Intel,i5,12.0,12,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
primebook,Primebook 4G Android ,16990,,MediaTek,kompanio,,8,4.0,4,lpddr4,Hard Disk,64.0,11.6, 1366 x 768 ,Android 11 ,1.0
lenovo,Lenovo V15 82KDA00XIH ,38799,,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101B6IN ,52890,69.0,Intel,i5,11.0,4,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
hp,HP 15s-FR2511TU ,40990,60.0,Intel,i3,11.0,2,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
