brand_names,price,score,processor brand,processor type,processor gen,type of core,no of threads,Ram,ram type,storage type,storage capacity,ppi,OS,Warranty
others,84490,65.0,Intel,i9,12.0,14.0,32.0,32,lpddr5,SSD,1024.0,,Windows 11,
hp,52990,63.0,AMD,ryzen,5.0,6.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 10,1.0
dell,45200,,Intel,i3,12.0,6.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
hp,52990,63.0,Intel,i5,11.0,4.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
hp,67990,71.0,Intel,i5,12.0,8.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
lenovo,33999,61.0,Intel,i3,11.0,2.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
hp,29300,,AMD,athlon,3.0,2.0,8.0,8,ddr4,SSD,512.0,100.4546698611,Windows 11,1.0
lenovo,54990,73.0,Intel,i5,11.0,4.0,8.0,8,ddr4,Hard Disk,1024.0,141.2119980822,Windows 11,
hp,56899,61.0,Intel,i5,12.0,10.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
dell,57831,,Intel,i5,12.0,10.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
msi,63500,73.0,Intel,i7,11.0,8.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 10,2.0
asus,49990,66.0,AMD,ryzen,5.0,6.0,8.0,8,ddr4,SSD,512.0,141.5097169808,Windows 11,1.0
hp,47490,60.0,Intel,i3,12.0,6.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
others,69990,,Intel,i5,13.0,12.0,8.0,8,lpddr5,SSD,512.0,157.3505121487,Windows 11,1.0
lenovo,35499,62.0,AMD,ryzen,5.0,4.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
others,49490,62.0,Intel,i5,12.0,12.0,16.0,16,lpddr5,SSD,512.0,141.2119980822,Windows,1.0
lenovo,35499,61.0,Intel,i3,11.0,2.0,8.0,8,ddr4,Hard Disk,1024.0,141.2119980822,Windows 11,
others,30990,,Intel,i3,10.0,2.0,8.0,8,lpddr4x,SSD,256.0,157.3505121487,Windows 11,1.0
apple,83900,,Apple,m1,,8.0,8.0,8,ddr4,SSD,256.0,226.9830046811,Mac,1.0
others,19999,,others,others,,8.0,4.0,4,lpddr4,Hard Disk,128.0,135.0942111926,others,1.0
asus,63990,67.0,AMD,ryzen,4.0,6.0,8.0,8,ddr4,SSD,512.0,127.3356745712,Windows 11,1.0
others,42490,61.0,Intel,i5,11.0,4.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 10,1.0
lenovo,21499,,Intel,celeron,,4.0,4.0,4,ddr4,Hard Disk,128.0,142.7941099194,Windows 10,1.0
hp,27990,,AMD,ryzen,3.0,2.0,8.0,8,ddr4,SSD,256.0,141.2119980822,Windows 11,1.0
dell,38170,,Intel,i3,11.0,2.0,8.0,8,ddr4,SSD,512.0,141.5750109307,Windows 11,1.0
lenovo,18990,,AMD,athlon,,2.0,8.0,8,ram,SSD,256.0,157.3505121487,Windows 11,1.0
lenovo,58490,69.0,AMD,ryzen,5.0,6.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
asus,54490,67.0,AMD,ryzen,5.0,6.0,16.0,16,ddr4,SSD,512.0,141.5097169808,Windows 11,1.0
asus,65990,68.0,AMD,ryzen,5.0,8.0,16.0,16,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
dell,58490,65.0,Intel,i5,11.0,4.0,8.0,8,ddr4,Hard Disk,1024.0,141.2119980822,Windows 10,
asus,67490,65.0,Intel,i5,12.0,12.0,16.0,16,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
others,16990,,others,others,,8.0,4.0,4,lpddr4,Hard Disk,64.0,135.0942111926,others,1.0
lenovo,38799,,AMD,ryzen,5.0,6.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
lenovo,52890,69.0,Intel,i5,11.0,4.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
hp,40990,60.0,Intel,i3,11.0,2.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
msi,49990,71.0,Intel,i5,11.0,6.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 10,2.0
hp,45729,61.0,AMD,ryzen,5.0,6.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
hp,68200,73.0,Intel,i5,12.0,8.0,8.0,8,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
asus,28990,,Intel,i3,10.0,2.0,8.0,8,ram,Hard Disk,1024.0,157.3505121487,Windows 11,1.0
hp,27999,,AMD,ryzen,3.0,2.0,8.0,8,ddr4,Hard Disk,1024.0,157.3505121487,Windows 11,1.0
asus,69490,67.0,AMD,ryzen,5.0,6.0,16.0,16,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
hp,50490,63.0,AMD,ryzen,5.0,6.0,16.0,16,ddr4,SSD,512.0,141.2119980822,Windows 11,1.0
